title,genres,runtime,vote_average,vote_count,year
My Night at Maud's,"['comedy', 'drama']",110.0,7.6,45.0,1969
The Magic Christian,['comedy'],92.0,6.0,13.0,1969
Marlowe,"['crime', 'mystery', 'drama']",95.0,6.2,26.0,1969
More,"['romance', 'drama', 'crime']",117.0,6.5,11.0,1969
The Reivers,"['comedy', 'drama']",106.0,5.9,17.0,1969
Taste the Blood of Dracula,['horror'],95.0,5.9,42.0,1970
The Joke,"['comedy', 'drama']",80.0,6.4,9.0,1969
...tick... tick... tick...,"['drama', 'action']",100.0,6.2,7.0,1970
Brewster McCloud,"['fantasy', 'comedy']",105.0,6.7,15.0,1970
Violent City,"['action', 'crime', 'thriller']",100.0,6.9,7.0,1970
Dirty Dingus Magee,"['comedy', 'western']",91.0,5.8,4.0,1970
Dodes'ka-den,['drama'],140.0,6.7,22.0,1970
Gamera vs. Jiger,"['action', 'adventure', 'science fiction']",83.0,5.5,6.0,1970
Claire's Knee,"['drama', 'romance']",105.0,7.4,35.0,1970
"Hi, Mom!","['comedy', 'drama']",87.0,5.8,20.0,1970
House of Dark Shadows,"['drama', 'horror', 'thriller', 'romance']",97.0,6.7,13.0,1970
A Swedish Love Story,"['drama', 'romance']",115.0,7.5,32.0,1970
The Landlord,"['drama', 'comedy']",112.0,5.5,9.0,1970
On a Clear Day You Can See Forever,"['action', 'drama', 'family', 'romance']",129.0,6.0,12.0,1970
Performance,"['crime', 'drama', 'music']",101.0,6.9,46.0,1970
A Trip Down the River,['comedy'],65.0,7.8,11.0,1970
Long Live Death,['drama'],90.0,6.1,8.0,1971
The White Sun of the Desert,"['action', 'drama', 'comedy', 'adventure']",83.0,7.5,25.0,1970
Zabriskie Point,"['drama', 'romance']",113.0,7.1,78.0,1970
The Beguiled,"['drama', 'romance', 'war', 'western']",105.0,7.0,86.0,1971
The Devils,"['drama', 'history']",111.0,7.4,90.0,1971
Duel,"['tv movie', 'action', 'thriller']",74.0,7.2,374.0,1972
Evil Roy Slade,"['tv movie', 'western', 'comedy']",97.0,5.9,9.0,1972
The Go-Between,"['drama', 'romance']",118.0,6.2,24.0,1971
Johnny Got His Gun,"['war', 'drama']",111.0,7.2,65.0,1971
Lawman,"['action', 'western']",99.0,6.5,24.0,1971
Let's Scare Jessica to Death,"['horror', 'mystery', 'thriller']",89.0,6.6,51.0,1971
They Call Me Trinity,"['action', 'comedy', 'western']",106.0,7.5,269.0,1970
Mon oncle Antoine,"['comedy', 'drama']",104.0,8.2,6.0,1971
A New Leaf,"['comedy', 'romance']",102.0,7.1,29.0,1971
Nicholas and Alexandra,"['romance', 'drama', 'war']",189.0,7.0,23.0,1971
Von Richthofen and Brown,"['war', 'drama', 'action', 'foreign']",97.0,6.5,4.0,1971
Scars of Dracula,['horror'],96.0,5.9,31.0,1970
Support Your Local Gunfighter,"['action', 'comedy', 'western']",91.0,6.6,21.0,1971
Sweet Sweetback's Baadasssss Song,"['action', 'drama', 'romance']",97.0,4.7,19.0,1971
El Topo,"['action', 'adventure', 'drama', 'western']",125.0,7.4,109.0,1970
The Emigrants,"['adventure', 'drama']",191.0,6.8,25.0,1971
Blood of Ghastly Horror,"['horror', 'science fiction']",85.0,1.5,4.0,1972
Brother John,"['drama', 'science fiction']",95.0,6.2,5.0,1971
Dr. Phibes Rises Again,"['comedy', 'horror']",89.0,6.2,37.0,1972
Dracula A.D. 1972,['horror'],96.0,6.0,30.0,1972
Get to Know Your Rabbit,['comedy'],91.0,7.0,3.0,1972
The Tall Blond Man with One Black Shoe,"['comedy', 'mystery']",90.0,6.9,58.0,1972
Lone Wolf and Cub: Sword of Vengeance,"['drama', 'action']",83.0,7.1,36.0,1972
Lone Wolf and Cub: Baby Cart at the River Styx,"['action', 'drama']",81.0,7.3,38.0,1972
Lady Sings the Blues,"['romance', 'drama', 'music']",144.0,7.2,16.0,1972
Payday,"['drama', 'music']",103.0,5.6,4.0,1973
Slither,"['thriller', 'comedy']",97.0,4.2,3.0,1973
Trafic,['comedy'],96.0,7.4,29.0,1971
The Mad Adventures of Rabbi Jacob,['comedy'],100.0,7.1,183.0,1973
Charley Varrick,"['action', 'crime', 'drama', 'thriller']",111.0,7.0,57.0,1973
Dark Star,"['comedy', 'science fiction']",83.0,6.0,120.0,1974
A Delicate Balance,"['drama', 'foreign']",133.0,6.0,1.0,1973
Bram Stoker's Dracula,"['horror', 'tv movie']",100.0,6.4,13.0,1974
Emperor of the North,"['adventure', 'drama', 'action', 'thriller']",118.0,6.8,30.0,1973
Executive Action,"['action', 'crime', 'drama', 'history', 'thriller']",91.0,6.2,11.0,1973
The Glass Menagerie,['drama'],100.0,6.6,5.0,1973
My Name Is Nobody,"['comedy', 'western']",117.0,7.1,227.0,1973
Invasion of the Bee Girls,"['horror', 'science fiction', 'thriller']",85.0,4.0,15.0,1973
Lemora: A Child's Tale of the Supernatural,['horror'],85.0,6.4,15.0,1973
Phase IV,"['thriller', 'horror', 'science fiction']",86.0,5.9,48.0,1974
Save the Tiger,['drama'],100.0,7.1,18.0,1973
Scarecrow,"['drama', 'thriller']",112.0,6.8,59.0,1973
Sisters,"['horror', 'thriller']",93.0,6.8,77.0,1973
The Spook Who Sat by the Door,"['action', 'drama', 'crime']",102.0,7.0,4.0,1973
Theatre of Blood,"['comedy', 'horror']",104.0,6.7,43.0,1973
Five Fingers of Death,['action'],104.0,6.7,24.0,1972
Turkish Delight,"['drama', 'romance']",112.0,7.0,34.0,1973
Walking Tall,"['action', 'crime', 'drama']",125.0,6.5,32.0,1973
Butley,['drama'],127.0,7.3,3.0,1974
California Split,"['comedy', 'drama']",108.0,6.5,26.0,1974
The Cars That Ate Paris,"['comedy', 'mystery', 'thriller', 'horror']",87.0,5.1,19.0,1974
Conrack,['drama'],106.0,7.1,12.0,1974
The Living Dead at Manchester Morgue,"['horror', 'science fiction']",95.0,6.3,41.0,1974
Emmanuelle,"['drama', 'romance']",89.0,4.9,74.0,1974
The Phantom of Liberty,"['drama', 'comedy']",103.0,7.4,46.0,1974
Flesh for Frankenstein,['horror'],95.0,5.4,28.0,1973
General Idi Amin Dada,"['documentary', 'foreign', 'war']",90.0,6.8,6.0,1974
Gone in 60 Seconds,"['action', 'crime', 'drama', 'thriller']",105.0,6.5,40.0,1974
The Groove Tube,['comedy'],75.0,5.3,3.0,1974
Harry and Tonto,"['drama', 'comedy']",115.0,7.1,26.0,1974
Hearts and Minds,"['documentary', 'war']",112.0,7.8,25.0,1974
The Holy Mountain,['drama'],114.0,7.7,143.0,1973
The Little Prince,"['science fiction', 'fantasy', 'family', 'music']",88.0,6.0,26.0,1974
The Terminal Man,"['science fiction', 'thriller']",107.0,6.1,8.0,1974
Thieves Like Us,"['drama', 'romance', 'crime']",123.0,6.2,13.0,1974
The Adventure of Sherlock Holmes' Smarter Brother,"['comedy', 'crime', 'mystery']",91.0,6.1,47.0,1975
The Adventures of the Wilderness Family,"['drama', 'family']",105.0,5.0,9.0,1975
"Cousin, Cousine","['romance', 'comedy']",95.0,7.3,4.0,1975
Dolemite,"['action', 'comedy', 'crime']",90.0,5.5,17.0,1975
The Twelve Tasks of Asterix,"['family', 'animation', 'comedy', 'adventure']",82.0,7.3,241.0,1976
Emmanuelle II,"['drama', 'romance']",84.0,4.9,15.0,1975
"Farewell, My Lovely","['crime', 'mystery', 'thriller']",95.0,6.8,26.0,1975
The Fortune,"['comedy', 'crime', 'romance']",88.0,5.3,10.0,1975
French Connection II,"['action', 'crime', 'drama', 'thriller']",119.0,6.6,95.0,1975
The Great Waldo Pepper,"['action', 'adventure', 'drama']",108.0,6.0,17.0,1975
The Story of Adele H,"['drama', 'history', 'romance']",97.0,6.9,35.0,1975
"The Irony of Fate, or Enjoy Your Bath!","['drama', 'comedy', 'romance']",184.0,7.2,36.0,1975
Night Moves,['thriller'],100.0,6.6,45.0,1975
The Passenger,"['thriller', 'drama']",121.0,7.5,90.0,1975
Hand of Death,['action'],95.0,6.1,11.0,1976
Sister Street Fighter,"['action', 'drama']",86.0,7.0,5.0,1974
Supervixens,['comedy'],106.0,6.4,35.0,1975
Trilogy of Terror,"['horror', 'thriller']",72.0,6.6,32.0,1975
1900,"['drama', 'history', 'romance']",317.0,7.5,84.0,1976
Small Change,"['drama', 'comedy']",104.0,7.7,23.0,1976
Twenty Days Without War,"['war', 'drama']",101.0,6.7,6.0,1977
From Noon Till Three,"['comedy', 'western']",99.0,5.5,15.0,1976
Futureworld,"['action', 'adventure', 'science fiction', 'thriller']",104.0,5.7,66.0,1976
Harlan County U.S.A.,['documentary'],103.0,7.7,19.0,1976
Hollywood Boulevard,['comedy'],83.0,6.3,6.0,1976
The Marquise of O,"['history', 'drama']",102.0,6.1,11.0,1976
Mistress,"['drama', 'romance']",112.0,6.0,10.0,1975
The Message,"['adventure', 'drama', 'action', 'history']",177.0,7.4,81.0,1977
The Missouri Breaks,"['drama', 'western']",126.0,6.2,41.0,1976
A Slave of Love,"['drama', 'romance']",94.0,5.3,8.0,1976
Silver Streak,"['comedy', 'crime', 'romance', 'thriller']",114.0,6.8,101.0,1976
Up!,['comedy'],80.0,5.6,27.0,1976
Who Can Kill a Child?,"['horror', 'mystery', 'thriller']",107.0,6.8,43.0,1976
ABBA - The Movie,"['documentary', 'music']",95.0,6.6,16.0,1977
Demon Seed,"['horror', 'science fiction']",94.0,5.9,57.0,1977
High Anxiety,"['comedy', 'music']",94.0,6.5,86.0,1977
The Man Who Loved Women,"['drama', 'comedy', 'romance']",119.0,7.1,34.0,1977
The Hound of the Baskervilles,"['drama', 'horror', 'comedy', 'thriller', 'crime', 'mystery']",85.0,5.3,6.0,1978
Place without Limits,['drama'],110.0,7.3,6.0,1978
"New York, New York","['drama', 'music', 'romance']",155.0,6.1,70.0,1977
Providence,['drama'],110.0,7.1,13.0,1977
Sorcerer,"['action', 'thriller', 'adventure']",121.0,7.5,104.0,1977
The Turning Point,"['drama', 'romance']",119.0,6.0,16.0,1977
The Rutles: All You Need Is Cash,['comedy'],76.0,6.5,28.0,1978
Brass Target,"['action', 'drama']",111.0,6.6,5.0,1978
Capricorn One,"['drama', 'action', 'thriller', 'science fiction']",123.0,6.4,134.0,1977
The Five Venoms,['action'],98.0,6.2,27.0,1978
Gates of Heaven,['documentary'],85.0,6.6,28.0,1978
Last Hurrah for Chivalry,"['action', 'drama']",106.0,7.5,6.0,1979
Harper Valley P.T.A.,['comedy'],93.0,7.0,8.0,1978
The Hobbit,"['adventure', 'animation', 'family']",77.0,6.0,76.0,1977
In Praise Of Older Women,"['drama', 'romance']",110.0,7.3,3.0,1978
Parts: The Clonus Horror,"['horror', 'science fiction']",90.0,4.1,10.0,1979
The Grapes of Death,['horror'],91.0,6.2,18.0,1978
The Adventures of Picasso,['comedy'],118.0,7.6,12.0,1978
Snake in the Eagle's Shadow,"['action', 'comedy']",98.0,7.2,68.0,1978
A Wedding,"['comedy', 'drama']",125.0,6.5,10.0,1978
Best Boy,['documentary'],111.0,5.0,1.0,1979
French Fried Vacation 2,['comedy'],90.0,7.4,257.0,1979
Buffet Froid,"['comedy', 'crime']",89.0,6.6,28.0,1979
Hair,"['drama', 'comedy', 'history', 'music']",121.0,7.3,146.0,1979
I as in Icarus,"['thriller', 'drama', 'crime', 'mystery']",120.0,7.3,20.0,1979
The In-Laws,"['action', 'adventure', 'comedy']",103.0,6.7,26.0,1979
Love at First Bite,"['romance', 'comedy', 'horror']",96.0,5.8,30.0,1979
La Luna,['drama'],142.0,6.9,17.0,1979
Opening Night,['drama'],144.0,7.5,28.0,1977
Quintet,"['drama', 'mystery', 'science fiction']",118.0,5.6,18.0,1979
Rockers,"['drama', 'action', 'foreign']",100.0,6.4,12.0,1978
Starting Over,"['comedy', 'romance']",105.0,6.9,5.0,1979
Children's Island,"['drama', 'family']",109.0,6.3,4.0,1980
Defiance,"['thriller', 'action', 'crime']",103.0,6.2,3.0,1980
The Hitch Hikers Guide to the Galaxy,"['adventure', 'comedy', 'science fiction']",150.0,7.2,41.0,1981
Genocide,['documentary'],90.0,0.0,0.0,1982
Peter-No-Tail,"['romance', 'family', 'animation', 'drama']",81.0,5.7,7.0,1981
Treasure of the Yankee Zephyr,"['action', 'adventure', 'drama']",108.0,5.4,8.0,1981
Smiley's People,[],360.0,8.0,12.0,1982
The Scarlet Pimpernel,"['action', 'drama', 'romance', 'tv movie']",142.0,6.6,12.0,1982
Bad Boys,"['crime', 'drama', 'thriller']",104.0,6.7,68.0,1983
Barefoot Gen,"['animation', 'drama', 'war']",83.0,7.6,29.0,1983
Blue Thunder,"['science fiction', 'action', 'thriller', 'crime', 'drama']",109.0,5.9,117.0,1983
D.C. Cab,"['adventure', 'comedy', 'crime']",100.0,5.4,18.0,1983
The Day After,"['tv movie', 'science fiction', 'drama']",127.0,6.7,97.0,1983
Deal of the Century,['comedy'],99.0,4.8,13.0,1983
Doctor Detroit,['comedy'],89.0,4.7,20.0,1983
Eddie Murphy: Delirious,['comedy'],69.0,7.7,104.0,1983
El Norte,"['thriller', 'adventure', 'drama']",141.0,6.6,14.0,1983
Lianna,"['drama', 'romance']",110.0,5.9,10.0,1983
"Merry Christmas, Mr. Lawrence","['drama', 'history']",123.0,7.4,88.0,1983
The Pirates of Penzance,"['comedy', 'music', 'romance']",112.0,5.5,4.0,1983
The Raiders of Atlantis,"['action', 'science fiction']",92.0,6.4,8.0,1983
First Name: Carmen,"['drama', 'comedy', 'crime', 'romance']",85.0,7.1,16.0,1983
Rock & Rule,"['action', 'adventure', 'animation', 'fantasy', 'science fiction']",77.0,6.3,27.0,1983
Sugar Cane Alley,"['drama', 'family', 'foreign']",103.0,6.3,6.0,1983
Rumble Fish,"['action', 'adventure', 'crime', 'drama', 'romance']",94.0,6.8,141.0,1983
The Makioka Sisters,"['drama', 'foreign', 'romance']",140.0,6.9,14.0,1983
Star 80,['drama'],103.0,6.1,19.0,1983
The Star Chamber,"['action', 'crime', 'drama', 'thriller']",109.0,5.6,39.0,1983
Strange Invaders,"['horror', 'mystery', 'science fiction']",92.0,5.2,18.0,1983
Stroker Ace,"['action', 'comedy']",96.0,4.9,14.0,1983
To Be or Not to Be,['comedy'],107.0,7.0,49.0,1983
Twilight Zone: The Movie,"['drama', 'fantasy', 'horror', 'science fiction', 'thriller']",101.0,6.2,164.0,1983
The Fourth Man,"['crime', 'drama', 'mystery', 'romance', 'thriller', 'horror']",102.0,6.8,32.0,1983
Suburbia,"['drama', 'music']",94.0,6.6,18.0,1984
Yellowbeard,"['comedy', 'adventure']",96.0,5.7,44.0,1983
One Deadly Summer,"['mystery', 'drama']",130.0,7.1,28.0,1983
Another Country,"['drama', 'romance']",90.0,5.9,24.0,1984
Boy Meets Girl,"['drama', 'romance']",100.0,6.9,14.0,1984
Choose Me,"['comedy', 'drama', 'romance']",106.0,6.0,3.0,1984
A Christmas Carol,"['drama', 'family', 'fantasy', 'tv movie']",100.0,7.1,42.0,1984
Cloak & Dagger,"['adventure', 'action', 'family']",101.0,6.2,40.0,1984
Comfort and Joy,['comedy'],106.0,6.5,13.0,1984
Dangerous Moves,"['drama', 'thriller']",110.0,6.1,9.0,1984
Electric Dreams,"['music', 'comedy', 'drama']",92.0,6.4,37.0,1984
The Ewok Adventure,"['adventure', 'family', 'fantasy', 'science fiction', 'tv movie']",96.0,5.9,46.0,1985
The Hit,"['drama', 'action', 'thriller', 'crime']",98.0,6.5,41.0,1984
The Ice Pirates,"['action', 'science fiction', 'comedy']",91.0,5.7,50.0,1984
Irreconcilable Differences,"['comedy', 'drama', 'romance']",113.0,5.0,14.0,1984
The Last Polka,[],54.0,5.0,1.0,1985
Next of Kin,"['drama', 'comedy']",70.0,5.1,6.0,1984
Full Moon in Paris,"['drama', 'romance']",100.0,7.5,10.0,1984
Racing with the Moon,"['drama', 'romance']",108.0,5.8,15.0,1984
"Silent Night, Deadly Night","['thriller', 'horror']",79.0,5.6,65.0,1984
The Times of Harvey Milk,['documentary'],90.0,7.1,26.0,1984
Drunken Tai Chi,"['action', 'comedy']",91.0,6.5,4.0,1984
What Have I Done to Deserve This?,"['drama', 'comedy']",102.0,7.4,37.0,1984
Anne of Green Gables,"['drama', 'family']",199.0,8.2,71.0,1985
Asterix vs. Caesar,"['comedy', 'animation', 'family', 'adventure']",79.0,6.5,122.0,1985
Barbarian Queen,"['adventure', 'fantasy', 'action', 'science fiction']",70.0,4.6,9.0,1985
Beer,['comedy'],82.0,6.0,1.0,1985
Bliss,"['comedy', 'drama', 'romance']",112.0,5.2,5.0,1985
Creator,"['comedy', 'romance', 'science fiction']",107.0,6.2,18.0,1985
Death of a Salesman,['drama'],130.0,5.9,33.0,1985
Demons,['horror'],88.0,6.5,112.0,1985
Ewoks: The Battle for Endor,['adventure'],100.0,5.4,43.0,1985
Heaven Help Us,"['comedy', 'drama', 'romance']",104.0,6.9,18.0,1985
Mr. Vampire,"['action', 'comedy', 'horror']",96.0,5.8,18.0,1985
Police Story,"['action', 'crime', 'thriller']",101.0,7.3,128.0,1985
Mishima: A Life in Four Chapters,['drama'],121.0,7.7,37.0,1985
9 Deaths of the Ninja,"['action', 'comedy']",94.0,6.1,9.0,1985
Peter-No-Tail in Americat,"['animation', 'family']",78.0,6.0,4.0,1985
The Quiet Earth,"['drama', 'science fiction', 'thriller']",91.0,6.7,160.0,1985
Spies Like Us,"['comedy', 'adventure']",102.0,5.9,180.0,1985
The Stuff,"['horror', 'comedy', 'science fiction']",93.0,5.8,91.0,1985
Target,"['drama', 'action']",117.0,6.3,20.0,1985
The Unknown Soldier,"['drama', 'war']",198.0,6.4,13.0,1985
Vision Quest,"['drama', 'romance']",105.0,6.4,31.0,1985
White Nights,"['drama', 'thriller']",136.0,6.2,30.0,1985
’Round Midnight,['drama'],133.0,6.7,20.0,1986
Asterix in Britain,"['family', 'animation', 'adventure', 'comedy']",79.0,6.8,142.0,1986
The Best of Times,['comedy'],104.0,6.0,20.0,1986
Club Paradise,"['comedy', 'drama', 'romance']",96.0,4.3,20.0,1986
Dead End Drive-In,"['action', 'drama', 'horror', 'science fiction', 'thriller']",87.0,6.4,24.0,1986
Flodder,['comedy'],111.0,6.6,32.0,1986
Ginger and Fred,"['romance', 'comedy', 'drama']",125.0,6.6,16.0,1986
Nobody's Fool,"['comedy', 'drama', 'romance']",107.0,6.0,2.0,1986
The Sacrifice,['drama'],149.0,7.2,87.0,1986
The Park is Mine,"['tv movie', 'action', 'adventure', 'drama']",102.0,5.0,16.0,1985
Sherman's March,['documentary'],157.0,6.3,10.0,1985
Solarbabies,['science fiction'],94.0,5.1,12.0,1986
A Better Tomorrow,"['action', 'crime', 'drama']",95.0,7.3,102.0,1986
Dragons Forever,"['action', 'comedy', 'romance']",102.0,7.2,41.0,1988
G.I. Joe: The Movie,"['animation', 'action', 'thriller', 'science fiction', 'family']",93.0,6.6,14.0,1987
Hell Comes to Frogtown,"['action', 'comedy', 'horror', 'science fiction']",88.0,5.7,29.0,1988
Where Is My Friend's House?,['drama'],83.0,7.8,36.0,1987
Leif,['comedy'],108.0,4.9,4.0,1987
Law of Desire,"['comedy', 'drama', 'romance']",102.0,7.2,37.0,1987
Malone,"['action', 'thriller']",92.0,6.8,15.0,1987
Pathfinder,['adventure'],86.0,7.3,24.0,1987
Prince of Darkness,['horror'],101.0,6.6,192.0,1987
A Chinese Ghost Story,"['fantasy', 'action']",98.0,7.2,59.0,1987
Street Smart,"['thriller', 'crime', 'drama']",97.0,5.7,16.0,1987
Weeds,['drama'],115.0,4.7,3.0,1987
The Whales of August,['drama'],90.0,7.1,17.0,1987
A Better Tomorrow II,"['action', 'crime', 'thriller']",105.0,7.0,48.0,1987
Ashik Kerib,"['drama', 'music', 'science fiction']",73.0,5.5,11.0,1988
The Bourne Identity,"['action', 'drama', 'mystery', 'thriller']",180.0,6.1,28.0,1988
Cannibal Women in the Avocado Jungle of Death,"['horror', 'comedy', 'adventure']",90.0,4.4,12.0,1989
Cobra Verde,"['adventure', 'drama']",111.0,6.6,28.0,1987
Comic Book Confidential,['documentary'],90.0,6.8,6.0,1988
Dominick and Eugene,['drama'],111.0,6.1,16.0,1988
Jack's Back,"['horror', 'thriller']",97.0,5.8,13.0,1988
Killer Klowns from Outer Space,"['comedy', 'horror', 'science fiction']",88.0,5.8,161.0,1988
Moonwalker,"['fantasy', 'music']",93.0,6.0,126.0,1988
Alice,"['animation', 'comedy', 'fantasy', 'horror']",86.0,7.3,60.0,1988
Pascali's Island,['drama'],104.0,6.0,2.0,1988
Prison,"['crime', 'drama', 'horror', 'thriller']",102.0,6.7,27.0,1988
Split Decisions,['drama'],95.0,5.3,6.0,1988
Tales from the Gimli Hospital,"['fantasy', 'horror']",68.0,7.4,6.0,1988
Landscape in the Mist,['drama'],127.0,7.6,27.0,1988
Life Is a Long Quiet River,['comedy'],90.0,6.8,74.0,1988
A World Apart,"['drama', 'foreign']",113.0,5.4,7.0,1988
Common Threads: Stories from the Quilt,"['history', 'documentary']",79.0,10.0,2.0,1989
Kiki's Delivery Service,"['animation', 'adventure', 'drama', 'fantasy']",103.0,7.6,768.0,1989
Monsieur Hire,"['crime', 'drama']",81.0,7.2,29.0,1989
Moon 44,['science fiction'],98.0,5.0,32.0,1990
Rikyu,"['drama', 'foreign']",135.0,7.5,4.0,1989
Speaking Parts,['drama'],93.0,5.8,6.0,1989
Prime Suspect,['crime'],206.0,7.5,19.0,1991
Boiling Point,"['crime', 'action', 'comedy']",96.0,6.6,38.0,1990
Almost an Angel,"['fantasy', 'comedy', 'science fiction']",95.0,5.6,23.0,1990
Black Rainbow,"['mystery', 'thriller', 'fantasy', 'horror']",103.0,6.6,8.0,1989
Cry-Baby,"['comedy', 'music']",85.0,6.4,289.0,1990
Bullet in the Head,"['thriller', 'crime', 'drama']",130.0,7.7,52.0,1990
Downtown,"['action', 'adventure', 'comedy', 'thriller']",96.0,5.9,9.0,1990
Frankenhooker,"['comedy', 'horror', 'science fiction']",85.0,5.7,65.0,1990
The Garden,['drama'],92.0,7.1,8.0,1990
Ghost Dad,"['comedy', 'family', 'fantasy']",84.0,4.5,51.0,1990
Hard to Kill,"['action', 'thriller']",96.0,5.6,141.0,1990
Havana,"['drama', 'romance']",144.0,5.5,20.0,1990
Shipwrecked,"['adventure', 'family']",92.0,6.1,14.0,1990
I Hired a Contract Killer,"['comedy', 'drama']",79.0,7.0,31.0,1990
Ju Dou,"['drama', 'romance']",95.0,7.2,25.0,1990
The Krays,"['drama', 'crime', 'history']",119.0,5.6,34.0,1990
Lionheart,"['action', 'thriller']",105.0,5.9,179.0,1990
Narrow Margin,"['action', 'thriller', 'crime', 'mystery']",97.0,5.6,30.0,1990
Close-Up,"['crime', 'documentary', 'drama']",98.0,8.0,53.0,1990
Nuns on the Run,['comedy'],89.0,5.5,41.0,1990
Patlabor: The Movie,"['action', 'animation', 'science fiction']",100.0,6.6,27.0,1989
The Reflecting Skin,"['drama', 'horror', 'thriller']",95.0,6.7,41.0,1990
Riff-Raff,"['comedy', 'drama']",95.0,6.4,22.0,1991
State of Grace,"['drama', 'action', 'thriller', 'crime']",134.0,6.5,73.0,1990
Auntie Danielle,"['comedy', 'drama']",111.0,6.5,38.0,1990
Time to Kill,"['war', 'drama']",110.0,5.8,4.0,1989
"Welcome Home, Roxy Carmichael","['drama', 'comedy']",95.0,6.2,27.0,1990
35 Up,"['documentary', 'foreign']",123.0,7.7,8.0,1991
Days of Being Wild,"['crime', 'drama', 'romance']",91.0,7.3,85.0,1990
Across the Tracks,['drama'],100.0,5.5,17.0,1991
Begotten,"['fantasy', 'horror']",78.0,5.0,64.0,1990
Life on a String,"['drama', 'foreign']",110.0,7.0,2.0,1991
Cadence,['drama'],97.0,6.4,21.0,1990
Closet Land,['drama'],94.0,6.6,11.0,1991
Delusion,['crime'],100.0,4.8,3.0,1991
Dollman,"['action', 'comedy', 'crime', 'science fiction']",82.0,5.5,16.0,1991
Dutch,['comedy'],107.0,6.4,66.0,1991
Guilty by Suspicion,"['drama', 'thriller']",100.0,5.9,29.0,1991
Hearts of Darkness: A Filmmaker's Apocalypse,['documentary'],96.0,8.0,61.0,1991
High Strung,['comedy'],93.0,5.4,10.0,1991
Homicide,"['drama', 'crime']",102.0,5.9,32.0,1991
Johnny Stecchino,['comedy'],102.0,7.4,190.0,1991
A Kiss Before Dying,"['mystery', 'thriller', 'crime']",95.0,5.6,17.0,1991
Riki-Oh: The Story of Ricky,"['comedy', 'action', 'thriller']",90.0,6.8,67.0,1991
Light Sleeper,"['drama', 'crime']",103.0,5.7,15.0,1992
The Linguini Incident,"['comedy', 'crime']",98.0,8.0,2.0,1991
Mannequin Two: On the Move,"['fantasy', 'comedy', 'science fiction', 'romance']",95.0,4.6,28.0,1991
Only Yesterday,"['animation', 'drama', 'romance']",118.0,7.0,152.0,1991
Once Around,"['comedy', 'drama', 'romance']",115.0,5.8,15.0,1991
Other People's Money,"['comedy', 'drama']",103.0,6.1,34.0,1991
Out for Justice,"['action', 'thriller', 'crime']",91.0,5.9,113.0,1991
Prospero's Books,"['drama', 'fantasy']",120.0,6.5,27.0,1991
Quigley Down Under,"['romance', 'action', 'adventure', 'western', 'drama']",119.0,6.5,120.0,1990
Rubin and Ed,"['drama', 'comedy']",82.0,7.0,6.0,1991
Shout,"['drama', 'romance']",89.0,5.0,6.0,1991
Stinsen brinner... filmen alltså,[],0.0,5.8,2.0,1991
Stone Cold,"['action', 'crime', 'thriller']",92.0,5.6,35.0,1991
Strangers in Good Company,['drama'],101.0,7.0,4.0,1990
Surviving Desire,"['comedy', 'drama', 'romance']",53.0,7.2,6.0,1992
All the Mornings of the World,"['drama', 'romance', 'history']",109.0,6.3,29.0,1991
Assassin of the Tsar,"['history', 'drama']",104.0,6.3,6.0,1991
Wild Hearts Can't Be Broken,"['drama', 'family']",88.0,7.4,25.0,1991
Prime Suspect 2,"['drama', 'crime', 'tv movie']",203.0,7.2,14.0,1992
Aileen Wuornos: The Selling of a Serial Killer,"['documentary', 'foreign']",87.0,7.1,17.0,1992
Barbarian Queen II: The Empress Strikes Back,"['action', 'adventure', 'fantasy']",80.0,3.2,3.0,1992
Captain America,"['action', 'science fiction', 'war']",97.0,4.5,87.0,1990
City Hunter,"['action', 'adventure', 'comedy', 'romance']",105.0,6.3,68.0,1993
The Oak,"['comedy', 'drama']",105.0,5.9,6.0,1992
Citizen Cohn,['drama'],107.0,7.3,3.0,1992
Crossing The Bridge,['drama'],103.0,6.5,7.0,1992
Diggstown,"['action', 'comedy', 'drama']",98.0,6.5,31.0,1992
Innocent Blood,"['comedy', 'horror', 'thriller', 'crime']",112.0,6.2,57.0,1992
Johnny Suede,"['comedy', 'romance']",97.0,4.8,14.0,1991
Porco Rosso,"['comedy', 'animation', 'adventure']",94.0,7.6,563.0,1992
The Stolen Children,['drama'],114.0,7.1,17.0,1992
LadyBugs,"['comedy', 'family']",90.0,5.3,35.0,1992
The Mambo Kings,"['drama', 'music']",104.0,5.9,32.0,1992
Night and the City,"['thriller', 'comedy', 'crime', 'drama']",105.0,5.2,16.0,1992
The Story of Qiu Ju,"['comedy', 'drama']",100.0,7.2,27.0,1992
Shining Through,"['drama', 'romance', 'thriller']",132.0,6.2,34.0,1992
Sidekicks,"['action', 'adventure', 'drama', 'family']",101.0,4.9,41.0,1992
Tito and Me,['comedy'],104.0,7.5,11.0,1992
A Heart in Winter,"['drama', 'romance']",105.0,7.5,32.0,1992
Visions of Light,['documentary'],92.0,7.0,12.0,1992
New Dragon Gate Inn,['action'],103.0,7.4,23.0,1992
Life and Nothing More...,"['adventure', 'drama']",95.0,6.9,17.0,1992
House of Angels,['comedy'],127.0,5.3,15.0,1992
Return to Lonesome Dove,"['drama', 'western']",340.0,6.4,10.0,1993
American Ninja 5,"['action', 'thriller']",102.0,4.1,24.0,1993
